Series_Title,Gross,Genre,Fecha,Genero
Vikram Vedha,1,Action,2017-08-01,ACCION
Kimi no na wa.,5017246,Animation,2016-02-01,ANIMACION
Dangal,12391761,Action,2016-10-01,ACCION
Spider-Man: Into the Spider-Verse,190241310,Animation,2018-07-01,ANIMACION
Avengers: Endgame,858373000,Action,2019-06-01,ACCION
Avengers: Infinity War,678815482,Action,2018-11-01,ACCION
Coco,209726015,Animation,2017-04-01,ANIMACION
Django Unchained,162805434,Drama,2012-09-01,DRAMA
The Dark Knight Rises,448139099,Action,2012-05-01,ACCION
3 Idiots,6532908,Comedy,2009-08-01,COMEDIA
Taare Zameen Par,1223869,Drama,2007-01-01,DRAMA
WALL·E,223808164,Animation,2008-03-01,ANIMACION
The Lives of Others,11286112,Drama,2006-12-01,DRAMA
Oldeuboi,707481,Action,2003-03-01,ACCION
Memento,25544867,Mystery,2000-02-01,MISTERIO
Mononoke-hime,2375308,Animation,1997-02-01,ANIMACION
Once Upon a Time in America,5321508,Crime,1984-04-01,CRIMEN
Raiders of the Lost Ark,248159971,Action,1981-08-01,ACCION
The Shining,44017374,Drama,1980-04-01,DRAMA
Apocalypse Now,83471511,Drama,1979-10-01,DRAMA
Alien,78900000,Horror,1979-02-01,HORROR
Anand,1,Drama,1971-10-01,DRAMA
Tengoku to jigoku,1,Crime,1963-12-01,CRIMEN
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,275902,Comedy,1964-08-01,COMEDIA
Witness for the Prosecution,8175000,Crime,1957-01-01,CRIMEN
Paths of Glory,1,Drama,1957-04-01,DRAMA
Rear Window,36764313,Mystery,1954-02-01,MISTERIO
Sunset Blvd.,1,Drama,1950-02-01,DRAMA
The Great Dictator,288475,Comedy,1940-09-01,COMEDIA
1917,159227644,Drama,2019-06-01,DRAMA
Tumbbad,1,Drama,2018-01-01,DRAMA
Andhadhun,1373943,Crime,2018-04-01,CRIMEN
Drishyam,1,Crime,2013-06-01,CRIMEN
Jagten,687185,Drama,2012-09-01,DRAMA
Jodaeiye Nader az Simin,7098492,Drama,2011-04-01,DRAMA
Incendies,6857096,Drama,2010-04-01,DRAMA
Miracle in cell NO.7,1,Drama,2019-07-01,DRAMA
Babam ve Oglum,1,Drama,2005-04-01,DRAMA
Inglourious Basterds,120540719,Adventure,2009-02-01,AVENTURA
Eternal Sunshine of the Spotless Mind,34400301,Drama,2004-10-01,DRAMA
Amélie,33225499,Comedy,2001-04-01,COMEDIA
Snatch,30328156,Comedy,2000-11-01,COMEDIA
Requiem for a Dream,3635482,Drama,2000-12-01,DRAMA
American Beauty,130096601,Drama,1999-12-01,DRAMA
Good Will Hunting,138433435,Drama,1997-02-01,DRAMA
Bacheha-Ye aseman,933933,Drama,1997-04-01,DRAMA
Toy Story,191796233,Animation,1995-02-01,ANIMACION
Braveheart,75600000,Biography,1995-04-01,BIOGRAFIA
Reservoir Dogs,2832029,Crime,1992-05-01,CRIMEN
Full Metal Jacket,46357676,Drama,1987-05-01,DRAMA
Idi i smotri,1,Drama,1985-10-01,DRAMA
Aliens,85160248,Action,1986-10-01,ACCION
Amadeus,51973029,Biography,1984-10-01,BIOGRAFIA
Scarface,45598982,Crime,1983-09-01,CRIMEN
Star Wars: Episode VI - Return of the Jedi,309125409,Action,1983-12-01,ACCION
Das Boot,11487676,Adventure,1981-09-01,AVENTURA
Taxi Driver,28262574,Crime,1976-02-01,CRIMEN
The Sting,159600000,Comedy,1973-10-01,COMEDIA
A Clockwork Orange,6207725,Crime,1971-08-01,CRIMEN
2001: A Space Odyssey,56954992,Adventure,1968-08-01,AVENTURA
Per qualche dollaro in più,15000000,Western,1965-12-01,OESTE
Lawrence of Arabia,44824144,Adventure,1962-09-01,AVENTURA
The Apartment,18600000,Comedy,1960-07-01,COMEDIA
North by Northwest,13275000,Adventure,1959-03-01,AVENTURA
Vertigo,3200000,Mystery,1958-03-01,MISTERIO
Singin' in the Rain,8819028,Comedy,1952-12-01,COMEDIA
Ikiru,55240,Drama,1952-04-01,DRAMA
Ladri di biciclette,332930,Drama,1948-09-01,DRAMA
Double Indemnity,5720000,Crime,1944-01-01,CRIMEN
Citizen Kane,1585634,Drama,1941-06-01,DRAMA
M - Eine Stadt sucht einen Mörder,28877,Crime,1931-03-01,CRIMEN
Metropolis,1236166,Drama,1927-09-01,DRAMA
The Kid,5450000,Comedy,1921-12-01,COMEDIA
Chhichhore,898575,Comedy,2019-10-01,COMEDIA
Uri: The Surgical Strike,4186168,Action,2018-09-01,ACCION
K.G.F: Chapter 1,1,Action,2018-05-01,ACCION
Green Book,85080171,Biography,2018-02-01,BIOGRAFIA
"Three Billboards Outside Ebbing, Missouri",54513740,Comedy,2017-09-01,COMEDIA
Talvar,342370,Crime,2015-02-01,CRIMEN
Baahubali 2: The Conclusion,20186659,Action,2017-08-01,ACCION
Klaus,1,Animation,2019-04-01,ANIMACION
Drishyam,739478,Crime,2015-11-01,CRIMEN
Queen,1429534,Adventure,2013-08-01,AVENTURA
Mandariinid,144501,Drama,2013-04-01,DRAMA
Bhaag Milkha Bhaag,1626289,Biography,2013-06-01,BIOGRAFIA
Gangs of Wasseypur,1,Action,2012-11-01,ACCION
Udaan,7461,Drama,2010-09-01,DRAMA
Paan Singh Tomar,39567,Action,2012-05-01,ACCION
El secreto de sus ojos,6391436,Drama,2009-02-01,DRAMA
