Series_Title,Gross,Genre,Fecha,Genero
Black Swan,106954678,Drama,2010-11-01,DRAMA
Tropa de Elite,8060,Action,2007-06-01,ACCION
The Avengers,623279547,Action,2012-10-01,ACCION
Persepolis,4445756,Animation,2007-01-01,ANIMACION
Dallas Buyers Club,27298285,Biography,2013-09-01,BIOGRAFIA
The Pursuit of Happyness,163566459,Biography,2006-03-01,BIOGRAFIA
Blood Diamond,57366262,Adventure,2006-03-01,AVENTURA
The Bourne Ultimatum,227471070,Action,2007-09-01,ACCION
Bin-jip,238507,Crime,2004-05-01,CRIMEN
Sin City,74103820,Crime,2005-05-01,CRIMEN
Le scaphandre et le papillon,5990075,Biography,2007-09-01,BIOGRAFIA
G.O.R.A.,1,Adventure,2004-01-01,AVENTURA
Ratatouille,206445654,Animation,2007-01-01,ANIMACION
Casino Royale,167445960,Action,2006-02-01,ACCION
Kill Bill: Vol. 2,66208183,Action,2004-03-01,ACCION
Vozvrashchenie,502028,Drama,2003-06-01,DRAMA
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2380788,Drama,2003-02-01,DRAMA
Mar adentro,2086345,Biography,2014-01-01,BIOGRAFIA
Cinderella Man,61649911,Biography,2005-06-01,BIOGRAFIA
Kal Ho Naa Ho,1787378,Comedy,2003-01-01,COMEDIA
Mou gaan dou,169659,Action,2002-04-01,ACCION
Pirates of the Caribbean: The Curse of the Black Pearl,305413918,Action,2003-02-01,ACCION
Big Fish,66257002,Adventure,2003-01-01,AVENTURA
The Incredibles,261441092,Animation,2004-04-01,ANIMACION
Yeopgijeogin geunyeo,1,Comedy,2001-06-01,COMEDIA
Dogville,1530386,Crime,2003-02-01,CRIMEN
Vizontele,1,Comedy,2001-09-01,COMEDIA
Donnie Darko,1480006,Drama,2001-06-01,DRAMA
Magnolia,22455976,Drama,1999-04-01,DRAMA
Dancer in the Dark,4184036,Crime,2000-01-01,CRIMEN
The Straight Story,6203044,Biography,1999-05-01,BIOGRAFIA
Pâfekuto burû,776665,Animation,1997-08-01,ANIMACION
Festen,1647780,Drama,1998-02-01,DRAMA
Central do Brasil,5595428,Drama,1998-03-01,DRAMA
The Iron Giant,23159305,Animation,1999-01-01,ANIMACION
Knockin' on Heaven's Door,3296,Action,1997-09-01,ACCION
Sling Blade,24475416,Drama,1996-12-01,DRAMA
Secrets & Lies,13417292,Comedy,1996-04-01,COMEDIA
Twelve Monkeys,57141459,Mystery,1995-03-01,MISTERIO
Kôkaku Kidôtai,515905,Animation,1995-02-01,ANIMACION
The Nightmare Before Christmas,75082668,Animation,1993-12-01,ANIMACION
Groundhog Day,70906973,Comedy,1993-10-01,COMEDIA
Bound by Honor,4496583,Crime,1993-03-01,CRIMEN
Scent of a Woman,63895607,Drama,1992-07-01,DRAMA
Aladdin,217350219,Animation,1992-04-01,ANIMACION
JFK,70405498,Drama,1991-06-01,DRAMA
Beauty and the Beast,218967620,Animation,1991-02-01,ANIMACION
Dances with Wolves,184208848,Adventure,1990-05-01,AVENTURA
Do the Right Thing,27545445,Comedy,1989-06-01,COMEDIA
Rain Man,178800000,Drama,1988-09-01,DRAMA
Akira,553171,Animation,1988-11-01,ANIMACION
The Princess Bride,30857814,Adventure,1987-03-01,AVENTURA
Der Himmel über Berlin,3333969,Drama,1987-10-01,DRAMA
Au revoir les enfants,4542825,Drama,1987-02-01,DRAMA
Tenkû no shiro Rapyuta,1,Animation,1986-07-01,ANIMACION
The Terminator,38400000,Action,1984-05-01,ACCION
Gandhi,52767889,Biography,1982-02-01,BIOGRAFIA
Kagemusha,1,Drama,1980-02-01,DRAMA
Being There,30177511,Comedy,1979-01-01,COMEDIA
Annie Hall,39200000,Comedy,1977-04-01,COMEDIA
Jaws,260000000,Adventure,1975-01-01,AVENTURA
Dog Day Afternoon,50000000,Biography,1975-05-01,BIOGRAFIA
Young Frankenstein,86300000,Comedy,1974-02-01,COMEDIA
Papillon,53267000,Biography,1973-12-01,BIOGRAFIA
The Exorcist,232906145,Horror,1973-12-01,HORROR
Sleuth,4081254,Mystery,1972-12-01,MISTERIO
The Last Picture Show,29133000,Drama,1971-02-01,DRAMA
Fiddler on the Roof,80500000,Drama,1971-12-01,DRAMA
Il conformista,541940,Drama,1970-03-01,DRAMA
Butch Cassidy and the Sundance Kid,102308889,Biography,1969-03-01,BIOGRAFIA
Rosemary's Baby,1,Drama,1968-04-01,DRAMA
Planet of the Apes,33395426,Adventure,1968-06-01,AVENTURA
The Graduate,104945305,Comedy,1967-11-01,COMEDIA
Who's Afraid of Virginia Woolf?,0,Drama,1966-12-01,DRAMA
The Sound of Music,163214286,Biography,1965-01-01,BIOGRAFIA
Doctor Zhivago,111722000,Drama,1965-07-01,DRAMA
Per un pugno di dollari,14500000,Action,1964-06-01,ACCION
8½,50690,Drama,1963-03-01,DRAMA
Vivre sa vie: Film en douze tableaux,1,Drama,1962-07-01,DRAMA
The Hustler,8284000,Drama,1961-02-01,DRAMA
La dolce vita,19516000,Comedy,1960-08-01,COMEDIA
Rio Bravo,12535000,Action,1959-04-01,ACCION
Anatomy of a Murder,11900000,Crime,1959-02-01,CRIMEN
Touch of Evil,2237659,Crime,1958-12-01,CRIMEN
Cat on a Hot Tin Roof,17570324,Drama,1958-06-01,DRAMA
Sweet Smell of Success,1,Drama,1957-08-01,DRAMA
The Killing,1,Crime,1956-10-01,CRIMEN
The Night of the Hunter,654000,Crime,1955-11-01,CRIMEN
La Strada,1,Drama,1954-01-01,DRAMA
Les diaboliques,1,Crime,1955-07-01,CRIMEN
Stalag 17,1,Comedy,1953-01-01,COMEDIA
Roman Holiday,1,Comedy,1953-08-01,COMEDIA
A Streetcar Named Desire,8000000,Drama,1951-10-01,DRAMA
In a Lonely Place,1,Drama,1950-07-01,DRAMA
Kind Hearts and Coronets,1,Comedy,1949-06-01,COMEDIA
Rope,1,Crime,1948-10-01,CRIMEN
Out of the Past,1,Crime,1947-05-01,CRIMEN
Brief Encounter,1,Drama,1945-02-01,DRAMA
Laura,4360000,Drama,1944-05-01,DRAMA
The Best Years of Our Lives,23650000,Drama,1946-12-01,DRAMA
Arsenic and Old Lace,1,Comedy,1942-05-01,COMEDIA
The Maltese Falcon,2108060,Film-Noir,1941-09-01,OTRO
The Grapes of Wrath,55000,Drama,1940-11-01,DRAMA
The Wizard of Oz,2076020,Adventure,1939-01-01,AVENTURA
La règle du jeu,1,Comedy,1939-08-01,COMEDIA
The Thin Man,1,Comedy,1934-05-01,COMEDIA
All Quiet on the Western Front,3270000,Drama,1930-05-01,DRAMA
Bronenosets Potemkin,50970,Drama,1925-05-01,DRAMA
Knives Out,165359751,Comedy,2019-07-01,COMEDIA
Dil Bechara,1,Comedy,2020-09-01,COMEDIA
Manbiki kazoku,3313513,Crime,2018-10-01,CRIMEN
Marriage Story,2000000,Comedy,2019-08-01,COMEDIA
Call Me by Your Name,18095701,Drama,2017-06-01,DRAMA
"I, Daniel Blake",258168,Drama,2016-01-01,DRAMA
Isle of Dogs,32015231,Animation,2018-09-01,ANIMACION
Hunt for the Wilderpeople,5202582,Adventure,2016-07-01,AVENTURA
Captain Fantastic,5875006,Comedy,2016-07-01,COMEDIA
Sing Street,3237118,Comedy,2016-05-01,COMEDIA
Thor: Ragnarok,315058289,Action,2017-05-01,ACCION
Nightcrawler,32381218,Crime,2014-03-01,CRIMEN
Jojo Rabbit,349555,Comedy,2019-02-01,COMEDIA
Arrival,100546139,Drama,2016-06-01,DRAMA
Star Wars: Episode VII - The Force Awakens,936662225,Action,2015-02-01,ACCION
Before Midnight,8114627,Drama,2013-05-01,DRAMA
X-Men: Days of Future Past,233921534,Action,2014-08-01,ACCION
Bir Zamanlar Anadolu'da,138730,Crime,2011-11-01,CRIMEN
The Artist,44671682,Comedy,2011-07-01,COMEDIA
Edge of Tomorrow,100206256,Action,2014-10-01,ACCION
Amour,6739492,Drama,2012-03-01,DRAMA
The Irishman,7000000,Biography,2019-10-01,BIOGRAFIA
Un prophète,2084637,Crime,2009-08-01,CRIMEN
Moon,5009677,Drama,2009-04-01,DRAMA
Låt den rätte komma in,2122065,Crime,2008-01-01,CRIMEN
District 9,115646235,Action,2009-03-01,ACCION
The Wrestler,26236603,Drama,2008-09-01,DRAMA
Jab We Met,410800,Comedy,2007-11-01,COMEDIA
Boyhood,25379975,Drama,2014-07-01,DRAMA
"4 luni, 3 saptamâni si 2 zile",1185783,Drama,2007-07-01,DRAMA
Star Trek,257730019,Action,2009-10-01,ACCION
In Bruges,7757130,Comedy,2008-02-01,COMEDIA
The Man from Earth,1,Drama,2007-09-01,DRAMA
Letters from Iwo Jima,13756082,Action,2006-10-01,ACCION
The Fall,2280348,Adventure,2006-02-01,AVENTURA
Life of Pi,124987023,Adventure,2012-01-01,AVENTURA
Fantastic Mr. Fox,21002919,Animation,2009-01-01,ANIMACION
C.R.A.Z.Y.,1,Comedy,2005-06-01,COMEDIA
Les choristes,3635164,Drama,2004-01-01,DRAMA
Iron Man,318412101,Action,2008-11-01,ACCION
Shaun of the Dead,13542874,Comedy,2004-08-01,COMEDIA
Gegen die Wand,1,Drama,2004-12-01,DRAMA
Mystic River,90135191,Crime,2003-05-01,CRIMEN
Harry Potter and the Prisoner of Azkaban,249358727,Adventure,2004-11-01,AVENTURA
Ying xiong,53710019,Action,2002-07-01,ACCION
Hable con ella,9284265,Drama,2002-05-01,DRAMA
No Man's Land,1059830,Comedy,2001-08-01,COMEDIA
Cowboy Bebop: Tengoku no tobira,1000045,Animation,2001-12-01,ANIMACION
The Bourne Identity,121661683,Action,2002-03-01,ACCION
Nueve reinas,1221261,Crime,2000-05-01,CRIMEN
Children of Men,35552383,Adventure,2006-03-01,AVENTURA
Almost Famous,32534850,Adventure,2000-01-01,AVENTURA
Mulholland Dr.,7220243,Drama,2001-03-01,DRAMA
Toy Story 2,245852179,Animation,1999-06-01,ANIMACION
Boogie Nights,26400640,Drama,1997-02-01,DRAMA
Mimi wo sumaseba,1,Animation,1995-05-01,ANIMACION
Once Were Warriors,2201126,Crime,1994-06-01,CRIMEN
True Romance,12281500,Crime,1993-04-01,CRIMEN
Trois couleurs: Bleu,1324974,Drama,1993-12-01,DRAMA
Jûbê ninpûchô,1,Animation,1993-06-01,ANIMACION
Carlito's Way,36948322,Crime,1993-04-01,CRIMEN
Edward Scissorhands,56362352,Drama,1990-09-01,DRAMA
My Left Foot: The Story of Christy Brown,14743391,Biography,1989-08-01,BIOGRAFIA
Crimes and Misdemeanors,18254702,Comedy,1989-02-01,COMEDIA
The Untouchables,76270454,Crime,1987-11-01,CRIMEN
Hannah and Her Sisters,40084041,Comedy,1986-08-01,COMEDIA
Brazil,9929135,Drama,1985-05-01,DRAMA
This Is Spinal Tap,188751,Comedy,1984-09-01,COMEDIA
A Christmas Story,20605209,Comedy,1983-12-01,COMEDIA
The Blues Brothers,57229890,Action,1980-02-01,ACCION
Manhattan,45700000,Comedy,1979-03-01,COMEDIA
All That Jazz,37823676,Drama,1979-11-01,DRAMA
Dawn of the Dead,5100000,Action,1978-01-01,ACCION
All the President's Men,70600000,Biography,1976-05-01,BIOGRAFIA
La montaña sagrada,61001,Adventure,1973-05-01,AVENTURA
Amarcord,1,Comedy,1973-05-01,COMEDIA
Le charme discret de la bourgeoisie,198809,Comedy,1972-01-01,COMEDIA
"Aguirre, der Zorn Gottes",1,Action,1972-08-01,ACCION
Harold and Maude,1,Comedy,1971-09-01,COMEDIA
Patton,61700000,Biography,1970-09-01,BIOGRAFIA
The Wild Bunch,12064472,Action,1969-10-01,ACCION
Night of the Living Dead,89029,Horror,1968-05-01,HORROR
The Lion in Winter,22276975,Biography,1968-01-01,BIOGRAFIA
In the Heat of the Night,24379978,Crime,1967-02-01,CRIMEN
Charade,13474588,Comedy,1963-05-01,COMEDIA
The Manchurian Candidate,1,Drama,1962-02-01,DRAMA
Spartacus,30000000,Adventure,1960-04-01,AVENTURA
L'avventura,1,Drama,1960-08-01,DRAMA
Hiroshima mon amour,88300,Drama,1959-06-01,DRAMA
The Ten Commandments,93740000,Adventure,1956-09-01,AVENTURA
The Searchers,1,Adventure,1956-09-01,AVENTURA
East of Eden,1,Drama,1955-11-01,DRAMA
High Noon,9450000,Drama,1952-05-01,DRAMA
Strangers on a Train,7630000,Crime,1951-12-01,CRIMEN
Harvey,1,Comedy,1950-08-01,COMEDIA
Miracle on 34th Street,2650000,Comedy,1947-05-01,COMEDIA
Notorious,10464000,Drama,1946-12-01,DRAMA
The Big Sleep,6540000,Crime,1946-05-01,CRIMEN
The Lost Weekend,9460000,Drama,1945-06-01,DRAMA
The Philadelphia Story,1,Comedy,1940-03-01,COMEDIA
His Girl Friday,296000,Comedy,1940-07-01,COMEDIA
The Adventures of Robin Hood,3981000,Action,1938-08-01,ACCION
A Night at the Opera,2537520,Comedy,1935-06-01,COMEDIA
King Kong,10000000,Adventure,1933-08-01,AVENTURA
Freaks,1,Drama,1932-04-01,DRAMA
Nosferatu,1,Fantasy,1922-05-01,OTRO
The Gentlemen,1,Action,2019-07-01,ACCION
Raazi,1,Action,2018-10-01,ACCION
Sound of Metal,1,Drama,2019-03-01,DRAMA
Forushande,2402067,Drama,2016-08-01,DRAMA
Dunkirk,188373161,Action,2017-09-01,ACCION
Perfetti sconosciuti,1,Comedy,2016-03-01,COMEDIA
Hidden Figures,169607287,Biography,2016-09-01,BIOGRAFIA
Paddington 2,40442052,Adventure,2017-01-01,AVENTURA
Udta Punjab,1,Action,2016-06-01,ACCION
Kubo and the Two Strings,48023088,Animation,2016-12-01,ANIMACION
M.S. Dhoni: The Untold Story,1782795,Biography,2016-05-01,BIOGRAFIA
Manchester by the Sea,47695120,Drama,2016-10-01,DRAMA
Under sandet,435266,Drama,2015-04-01,DRAMA
Rogue One,532177324,Action,2016-04-01,ACCION
Captain America: Civil War,408084349,Action,2016-07-01,ACCION
The Hateful Eight,54117416,Crime,2015-09-01,CRIMEN
Little Women,108101214,Drama,2019-06-01,DRAMA
Loving Vincent,6735118,Animation,2017-06-01,ANIMACION
Pride,1,Biography,2014-08-01,BIOGRAFIA
Le passé,1330596,Drama,2013-02-01,DRAMA
La grande bellezza,2852400,Drama,2013-02-01,DRAMA
The Lunchbox,4231500,Drama,2013-08-01,DRAMA
Vicky Donor,169209,Comedy,2012-02-01,COMEDIA
Big Hero 6,222527828,Animation,2014-06-01,ANIMACION
About Time,15322921,Comedy,2013-08-01,COMEDIA
English Vinglish,1670773,Comedy,2012-06-01,COMEDIA
Kaze tachinu,5209580,Animation,2013-01-01,ANIMACION
Toy Story 4,434038008,Animation,2019-09-01,ANIMACION
La migliore offerta,85433,Crime,2013-03-01,CRIMEN
Moonrise Kingdom,45512466,Comedy,2012-08-01,COMEDIA
How to Train Your Dragon 2,177002924,Animation,2014-09-01,ANIMACION
The Big Short,70259870,Biography,2015-08-01,BIOGRAFIA
Kokuhaku,1,Drama,2010-09-01,DRAMA
Ang-ma-reul bo-at-da,128392,Action,2010-12-01,ACCION
The Girl with the Dragon Tattoo,102515793,Crime,2011-03-01,CRIMEN
Captain Phillips,107100855,Adventure,2013-05-01,AVENTURA
Ajeossi,6460,Action,2010-01-01,ACCION
Straight Outta Compton,161197785,Biography,2015-02-01,BIOGRAFIA
Madeo,547292,Crime,2009-01-01,CRIMEN
Chugyeokja,1,Action,2008-07-01,ACCION
The Hobbit: The Desolation of Smaug,258366855,Adventure,2013-07-01,AVENTURA
Das weiße Band - Eine deutsche Kindergeschichte,2222647,Drama,2009-06-01,DRAMA
Män som hatar kvinnor,10095170,Crime,2009-11-01,CRIMEN
The Trial of the Chicago 7,1,Drama,2020-10-01,DRAMA
Druk,1,Comedy,2020-09-01,COMEDIA
The Fighter,93617009,Biography,2010-07-01,BIOGRAFIA
Taken,145000989,Action,2008-02-01,ACCION
The Boy in the Striped Pyjamas,9030581,Drama,2008-07-01,DRAMA
Once,9439923,Drama,2007-06-01,DRAMA
The Hobbit: An Unexpected Journey,303003568,Adventure,2012-07-01,AVENTURA
Auf der anderen Seite,741283,Drama,2007-08-01,DRAMA
Atonement,50927067,Drama,2007-10-01,DRAMA
Drive,35061555,Crime,2011-10-01,CRIMEN
American Gangster,130164645,Biography,2007-09-01,BIOGRAFIA
Avatar,760507625,Action,2009-03-01,ACCION
Mr. Nobody,3600,Drama,2009-02-01,DRAMA
Apocalypto,50866635,Action,2006-06-01,ACCION
Little Miss Sunshine,59891098,Comedy,2006-12-01,COMEDIA
Hot Fuzz,23637265,Action,2007-06-01,ACCION
The Curious Case of Benjamin Button,127509326,Drama,2008-01-01,DRAMA
Veer-Zaara,2921738,Drama,2004-06-01,DRAMA
Adams æbler,1305,Comedy,2005-08-01,COMEDIA
Pride & Prejudice,38405088,Drama,2005-05-01,DRAMA
The World's Fastest Indian,5128124,Biography,2005-02-01,BIOGRAFIA
Tôkyô goddofâzâzu,128985,Animation,2003-06-01,ANIMACION
Serenity,25514517,Action,2005-06-01,ACCION
Walk the Line,119519402,Biography,2005-05-01,BIOGRAFIA
Ondskan,15280,Drama,2003-12-01,DRAMA
The Notebook,81001787,Drama,2004-06-01,DRAMA
Diarios de motocicleta,16756372,Adventure,2004-06-01,AVENTURA
Lilja 4-ever,181655,Crime,2002-06-01,CRIMEN
Les triplettes de Belleville,7002255,Animation,2003-04-01,ANIMACION
Gongdong gyeongbi guyeok JSA,1,Action,2000-02-01,ACCION
The Count of Monte Cristo,54234062,Action,2002-10-01,ACCION
Waking Life,2892011,Animation,2001-05-01,ANIMACION
Remember the Titans,115654751,Biography,2000-05-01,BIOGRAFIA
Wo hu cang long,128078872,Action,2000-09-01,ACCION
Todo sobre mi madre,8264530,Drama,1999-08-01,DRAMA
Cast Away,233632142,Adventure,2000-12-01,AVENTURA
The Boondock Saints,25812,Action,1999-10-01,ACCION
The Insider,28965197,Biography,1999-09-01,BIOGRAFIA
October Sky,32481825,Biography,1999-09-01,BIOGRAFIA
Shrek,267665011,Animation,2001-05-01,ANIMACION
Titanic,659325379,Drama,1997-08-01,DRAMA
Hana-bi,233986,Crime,1997-09-01,CRIMEN
Gattaca,12339633,Drama,1997-09-01,DRAMA
The Game,48323648,Action,1997-05-01,ACCION
Breaking the Waves,4040691,Drama,1996-10-01,DRAMA
Ed Wood,5887457,Biography,1994-06-01,BIOGRAFIA
What's Eating Gilbert Grape,9170214,Drama,1993-06-01,DRAMA
Tombstone,56505065,Action,1993-02-01,ACCION
The Sandlot,32416586,Comedy,1993-06-01,COMEDIA
The Remains of the Day,22954968,Drama,1993-09-01,DRAMA
Naked,1769305,Comedy,1993-07-01,COMEDIA
The Fugitive,183875760,Action,1993-01-01,ACCION
A Bronx Tale,17266971,Crime,1993-11-01,CRIMEN
Batman: Mask of the Phantasm,5617391,Animation,1993-04-01,ANIMACION
Lat sau san taam,1,Action,1992-06-01,ACCION
Night on Earth,2015810,Comedy,1991-01-01,COMEDIA
La double vie de Véronique,1999955,Drama,1991-08-01,DRAMA
Boyz n the Hood,57504069,Crime,1991-07-01,CRIMEN
Misery,61276872,Drama,1990-08-01,DRAMA
Awakenings,52096475,Biography,1990-02-01,BIOGRAFIA
Majo no takkyûbin,1,Animation,1989-09-01,ANIMACION
Glory,26830000,Biography,1989-03-01,BIOGRAFIA
Dip huet seung hung,1,Action,1989-04-01,ACCION
Back to the Future Part II,118500000,Adventure,1989-10-01,AVENTURA
Mississippi Burning,34603943,Crime,1988-07-01,CRIMEN
Predator,59735548,Action,1987-12-01,ACCION
Evil Dead II,5923044,Action,1987-09-01,ACCION
Ferris Bueller's Day Off,70136369,Comedy,1986-06-01,COMEDIA
Down by Law,1436000,Comedy,1986-03-01,COMEDIA
The Goonies,61503218,Adventure,1985-04-01,AVENTURA
The Color Purple,98467863,Drama,1985-07-01,DRAMA
The Breakfast Club,45875171,Comedy,1985-04-01,COMEDIA
The Killing Fields,34700291,Biography,1984-05-01,BIOGRAFIA
Ghostbusters,238632124,Action,1984-05-01,ACCION
The Right Stuff,21500000,Adventure,1983-06-01,AVENTURA
The King of Comedy,2500000,Comedy,1982-08-01,COMEDIA
E.T. the Extra-Terrestrial,435110554,Family,1982-01-01,OTRO
Kramer vs. Kramer,106260000,Drama,1979-09-01,DRAMA
Days of Heaven,1,Drama,1978-12-01,DRAMA
The Outlaw Josey Wales,31800000,Western,1976-04-01,OESTE
The Man Who Would Be King,1,Adventure,1975-08-01,AVENTURA
The Conversation,4420000,Drama,1974-10-01,DRAMA
La planète sauvage,193817,Animation,1973-06-01,ANIMACION
The Day of the Jackal,16056255,Crime,1973-06-01,CRIMEN
Badlands,1,Action,1973-03-01,ACCION
Cabaret,42765000,Drama,1972-09-01,DRAMA
Willy Wonka & the Chocolate Factory,4000000,Family,1971-07-01,OTRO
Midnight Cowboy,44785053,Drama,1969-11-01,DRAMA
Wait Until Dark,17550741,Thriller,1967-09-01,OTRO
Guess Who's Coming to Dinner,56700000,Comedy,1967-04-01,COMEDIA
Bonnie and Clyde,1,Action,1967-11-01,ACCION
My Fair Lady,72000000,Drama,1964-09-01,DRAMA
Mary Poppins,102272727,Comedy,1964-01-01,COMEDIA
The Longest Day,39100000,Action,1962-11-01,ACCION
Jules et Jim,1,Drama,1962-07-01,DRAMA
The Innocents,2616000,Horror,1961-04-01,HORROR
À bout de souffle,336705,Crime,1960-11-01,CRIMEN
Red River,1,Action,1948-09-01,ACCION
Key Largo,1,Action,1948-09-01,ACCION
To Have and Have Not,1,Adventure,1944-08-01,AVENTURA
Shadow of a Doubt,1,Film-Noir,1943-02-01,OTRO
